No.,Time,Source,Destination,,Time 1,Time 2,Delay ( Time 2 - Time 1 ),,Delay 1,Delay 2,,Jitter ( Delay 2 - Delay 1 )
1,0,40.74.108.123,192.168.43.73,,0,0.00009,0.00009,,-0.0018,0.00189,,0.00369
2,0.00009,192.168.43.73,40.74.108.123,,0.00009,0.00198,0.00189,,-0.060904,0.062794,,0.123698
3,0.00198,192.168.43.73,40.74.108.123,,0.00198,0.064774,0.062794,,0.0625,0.000294,,-0.062206
4,0.064774,23.43.248.138,192.168.43.73,,0.064774,0.065068,0.000294,,-0.006554,0.006848,,0.013402
5,0.065068,192.168.43.73,23.43.248.138,,0.065068,0.071916,0.006848,,0.006797,5.1E-05,,-0.006746
6,0.071916,23.43.248.138,192.168.43.73,,0.071916,0.071967,5.1E-05,,-0.012297,0.012348,,0.024645
7,0.071967,192.168.43.73,23.43.248.138,,0.071967,0.084315,0.012348,,-0.03298,0.045328,,0.078308
8,0.084315,40.74.108.123,192.168.43.73,,0.084315,0.129643,0.045328,,-0.183704,0.229032,,0.412736
9,0.129643,23.43.248.138,192.168.43.73,,0.129643,0.358675,0.229032,,0.228764,0.000268,,-0.228496
10,0.358675,40.74.108.123,192.168.43.73,,0.358675,0.358943,0.000268,,0.000237,3.1E-05,,-0.000206
11,0.358943,40.74.108.123,192.168.43.73,,0.358943,0.358974,3.1E-05,,-8.3E-05,0.000114,,0.000197
12,0.358974,192.168.43.73,40.74.108.123,,0.358974,0.359088,0.000114,,-0.002444,0.002558,,0.005002
13,0.359088,40.74.108.123,192.168.43.73,,0.359088,0.361646,0.002558,,-0.04641,0.048968,,0.095378
14,0.361646,192.168.43.73,40.74.108.123,,0.361646,0.410614,0.048968,,-0.103839,0.152807,,0.256646
15,0.410614,40.74.108.123,192.168.43.73,,0.410614,0.563421,0.152807,,0.142446,0.010361,,-0.132085
16,0.563421,40.74.108.123,192.168.43.73,,0.563421,0.573782,0.010361,,0.01022,0.000141,,-0.010079
17,0.573782,192.168.43.73,40.74.108.123,,0.573782,0.573923,0.000141,,4.4E-05,9.7E-05,,5.3E-05
18,0.573923,192.168.43.73,40.74.108.123,,0.573923,0.57402,9.7E-05,,-0.056006,0.056103,,0.112109
19,0.57402,192.168.43.73,40.74.108.123,,0.57402,0.630123,0.056103,,0.056103,0,,-0.056103
20,0.630123,40.74.108.123,192.168.43.73,,0.630123,0.630123,0,,-0.019757,0.019757,,0.039514
21,0.630123,40.74.108.123,192.168.43.73,,0.630123,0.64988,0.019757,,-0.042243,0.062,,0.104243
22,0.64988,40.74.108.123,192.168.43.73,,0.64988,0.71188,0.062,,0.05035,0.01165,,-0.0387
23,0.71188,40.74.108.123,192.168.43.73,,0.71188,0.72353,0.01165,,0.011582,6.8E-05,,-0.011514
24,0.72353,40.74.108.123,192.168.43.73,,0.72353,0.723598,6.8E-05,,-0.001495,0.001563,,0.003058
25,0.723598,192.168.43.73,40.74.108.123,,0.723598,0.725161,0.001563,,-0.069147,0.07071,,0.139857
26,0.725161,192.168.43.73,40.74.108.123,,0.725161,0.795871,0.07071,,-0.106254,0.176964,,0.283218
27,0.795871,40.74.108.123,192.168.43.73,,0.795871,0.972835,0.176964,,0.176917,4.7E-05,,-0.17687
28,0.972835,40.74.108.123,192.168.43.73,,0.972835,0.972882,4.7E-05,,-2.787733,2.78778,,5.575513
29,0.972882,192.168.43.73,40.74.108.123,,0.972882,3.760662,2.78778,,2.697984,0.089796,,-2.608188
732,3.760662,192.168.43.73,52.139.250.253,,3.760662,3.850458,0.089796,,0.089727,6.9E-05,,-0.089658
733,3.850458,52.139.250.253,192.168.43.73,,3.850458,3.850527,6.9E-05,,-0.000708,0.000777,,0.001485
734,3.850527,192.168.43.73,52.139.250.253,,3.850527,3.851304,0.000777,,-0.070772,0.071549,,0.142321
735,3.851304,192.168.43.73,52.139.250.253,,3.851304,3.922853,0.071549,,0.05924,0.012309,,-0.046931
736,3.922853,52.139.250.253,192.168.43.73,,3.922853,3.935162,0.012309,,0.012309,0,,-0.012309
737,3.935162,52.139.250.253,192.168.43.73,,3.935162,3.935162,0,,-5.4E-05,5.4E-05,,0.000108
738,3.935162,52.139.250.253,192.168.43.73,,3.935162,3.935216,5.4E-05,,-0.001334,0.001388,,0.002722
739,3.935216,192.168.43.73,52.139.250.253,,3.935216,3.936604,0.001388,,-0.00405,0.005438,,0.009488
740,3.936604,52.139.250.253,192.168.43.73,,3.936604,3.942042,0.005438,,0.005387,5.1E-05,,-0.005336
741,3.942042,52.139.250.253,192.168.43.73,,3.942042,3.942093,5.1E-05,,-0.004415,0.004466,,0.008881
742,3.942093,192.168.43.73,52.139.250.253,,3.942093,3.946559,0.004466,,-0.029795,0.034261,,0.064056
743,3.946559,192.168.43.73,52.139.250.253,,3.946559,3.98082,0.034261,,0.014349,0.019912,,0.005563
744,3.98082,52.139.250.253,192.168.43.73,,3.98082,4.000732,0.019912,,0.017231,0.002681,,-0.01455
745,4.000732,52.139.250.253,192.168.43.73,,4.000732,4.003413,0.002681,,0.00256,0.000121,,-0.002439
746,4.003413,192.168.43.73,52.139.250.253,,4.003413,4.003534,0.000121,,-0.000111,0.000232,,0.000343
747,4.003534,192.168.43.73,52.139.250.253,,4.003534,4.003766,0.000232,,-0.068845,0.069077,,0.137922
748,4.003766,192.168.43.73,52.139.250.253,,4.003766,4.072843,0.069077,,0.068943,0.000134,,-0.068809
749,4.072843,52.139.250.253,192.168.43.73,,4.072843,4.072977,0.000134,,-0.011849,0.011983,,0.023832
750,4.072977,52.139.250.253,192.168.43.73,,4.072977,4.08496,0.011983,,0.005986,0.005997,,1.1E-05
751,4.08496,52.139.250.253,192.168.43.73,,4.08496,4.090957,0.005997,,0.005926,7.1E-05,,-0.005855
752,4.090957,52.139.250.253,192.168.43.73,,4.090957,4.091028,7.1E-05,,5.7E-05,1.4E-05,,-4.3E-05
753,4.091028,52.139.250.253,192.168.43.73,,4.091028,4.091042,1.4E-05,,-4.6E-05,6E-05,,0.000106
754,4.091042,192.168.43.73,52.139.250.253,,4.091042,4.091102,6E-05,,-0.007169,0.007229,,0.014398
755,4.091102,52.139.250.253,192.168.43.73,,4.091102,4.098331,0.007229,,0.005989,0.00124,,-0.004749
756,4.098331,192.168.43.73,52.139.250.253,,4.098331,4.099571,0.00124,,-0.039971,0.041211,,0.081182
757,4.099571,192.168.43.73,52.139.250.253,,4.099571,4.140782,0.041211,,0.029067,0.012144,,-0.016923
758,4.140782,52.139.250.253,192.168.43.73,,4.140782,4.152926,0.012144,,0.004295,0.007849,,0.003554
759,4.152926,52.139.250.253,192.168.43.73,,4.152926,4.160775,0.007849,,0.007803,4.6E-05,,-0.007757
760,4.160775,52.139.250.253,192.168.43.73,,4.160775,4.160821,4.6E-05,,-17.001313,17.001359,,34.002672
761,4.160821,192.168.43.73,52.139.250.253,,4.160821,21.16218,17.001359,,17.001164,0.000195,,-17.000969
2619,21.16218,114.125.16.33,192.168.43.73,,21.16218,21.162375,0.000195,,0.000159,3.6E-05,,-0.000123
2620,21.162375,114.125.16.33,192.168.43.73,,21.162375,21.162411,3.6E-05,,-6.6E-05,0.000102,,0.000168
2621,21.162411,192.168.43.73,114.125.16.33,,21.162411,21.162513,0.000102,,-0.05409,0.054192,,0.108282
2622,21.162513,192.168.43.73,114.125.16.33,,21.162513,21.216705,0.054192,,-3.093573,3.147765,,6.241338
2624,21.216705,114.125.16.33,192.168.43.73,,21.216705,24.36447,3.147765,,3.120302,0.027463,,-3.092839
2625,24.36447,192.168.43.73,13.107.21.200,,24.36447,24.391933,0.027463,,0.007339,0.020124,,0.012785
2626,24.391933,192.168.43.73,204.79.197.203,,24.391933,24.412057,0.020124,,-0.051013,0.071137,,0.12215
2627,24.412057,13.107.21.200,192.168.43.73,,24.412057,24.483194,0.071137,,-0.307889,0.379026,,0.686915
2628,24.483194,204.79.197.203,192.168.43.73,,24.483194,24.86222,0.379026,,0.28096,0.098066,,-0.182894
2629,24.86222,192.168.43.73,204.79.197.219,,24.86222,24.960286,0.098066,,0.021217,0.076849,,0.055632
2635,24.960286,204.79.197.219,192.168.43.73,,24.960286,25.037135,0.076849,,0.025514,0.051335,,0.025821
2636,25.037135,192.168.43.73,204.79.197.219,,25.037135,25.08847,0.051335,,0.051326,9E-06,,-0.051317
2637,25.08847,192.168.43.73,204.79.197.203,,25.08847,25.088479,9E-06,,-0.000192,0.000201,,0.000393
2638,25.088479,192.168.43.73,204.79.197.200,,25.088479,25.08868,0.000201,,-0.013054,0.013255,,0.026309
2639,25.08868,192.168.43.73,104.69.154.35,,25.08868,25.101935,0.013255,,-0.025736,0.038991,,0.064727
2640,25.101935,204.79.197.219,192.168.43.73,,25.101935,25.140926,0.038991,,0.038991,0,,-0.038991
2641,25.140926,204.79.197.200,192.168.43.73,,25.140926,25.140926,0,,0,0,,0
2642,25.140926,104.69.154.35,192.168.43.73,,25.140926,25.140926,0,,-0.162967,0.162967,,0.325934
2643,25.140926,204.79.197.203,192.168.43.73,,25.140926,25.303893,0.162967,,0.106668,0.056299,,-0.050369
2644,25.303893,192.168.43.73,13.107.42.23,,25.303893,25.360192,0.056299,,0.017803,0.038496,,0.020693
2647,25.360192,13.107.42.23,192.168.43.73,,25.360192,25.398688,0.038496,,0.022525,0.015971,,-0.006554
2648,25.398688,192.168.43.73,104.40.210.32,,25.398688,25.414659,0.015971,,0.015955,1.6E-05,,-0.015939
2649,25.414659,192.168.43.73,204.79.197.200,,25.414659,25.414675,1.6E-05,,-0.03622,0.036236,,0.072456
2650,25.414675,192.168.43.73,34.237.179.253,,25.414675,25.450911,0.036236,,0.008479,0.027757,,0.019278
2651,25.450911,104.40.210.32,192.168.43.73,,25.450911,25.478668,0.027757,,0.025162,0.002595,,-0.022567
2652,25.478668,192.168.43.73,13.107.21.200,,25.478668,25.481263,0.002595,,-0.010191,0.012786,,0.022977
2653,25.481263,204.79.197.200,192.168.43.73,,25.481263,25.494049,0.012786,,0.002842,0.009944,,0.007102
2654,25.494049,34.237.179.253,192.168.43.73,,25.494049,25.503993,0.009944,,0.009937,7E-06,,-0.00993
2655,25.503993,192.168.43.73,204.79.197.200,,25.503993,25.504,7E-06,,-0.020993,0.021,,0.041993
2656,25.504,192.168.43.73,20.189.124.38,,25.504,25.525,0.021,,-0.004851,0.025851,,0.030702
2657,25.525,13.107.21.200,192.168.43.73,,25.525,25.550851,0.025851,,0.025851,0,,-0.025851
2658,25.550851,20.189.124.38,192.168.43.73,,25.550851,25.550851,0,,-0.254251,0.254251,,0.508502
2659,25.550851,204.79.197.200,192.168.43.73,,25.550851,25.805102,0.254251,,0.1488,0.105451,,-0.043349
2660,25.805102,192.168.43.73,40.81.31.55,,25.805102,25.910553,0.105451,,0.063538,0.041913,,-0.021625
2662,25.910553,40.81.31.55,192.168.43.73,,25.910553,25.952466,0.041913,,0.009492,0.032421,,0.022929
2667,25.952466,192.168.43.73,52.139.250.253,,25.952466,25.984887,0.032421,,0.000643,0.031778,,0.031135
2668,25.984887,192.168.43.73,54.225.227.202,,25.984887,26.016665,0.031778,,-0.004183,0.035961,,0.040144
2669,26.016665,52.139.250.253,192.168.43.73,,26.016665,26.052626,0.035961,,-0.184646,0.220607,,0.405253
2689,26.052626,54.225.227.202,192.168.43.73,,26.052626,26.273233,0.220607,,0.160123,0.060484,,-0.099639
2866,26.273233,192.168.43.73,13.88.28.53,,26.273233,26.333717,0.060484,,0.006337,0.054147,,0.04781
2868,26.333717,13.88.28.53,192.168.43.73,,26.333717,26.387864,0.054147,,0.000399,0.053748,,0.053349
2869,26.387864,192.168.43.73,114.125.16.33,,26.387864,26.441612,0.053748,,-0.415571,0.469319,,0.88489
2872,26.441612,114.125.16.33,192.168.43.73,,26.441612,26.910931,0.469319,,0.46929,2.9E-05,,-0.469261
2874,26.910931,192.168.43.73,13.88.28.53,,26.910931,26.91096,2.9E-05,,-0.05818,0.058209,,0.116389
2875,26.91096,192.168.43.73,20.184.57.167,,26.91096,26.969169,0.058209,,0.058209,0,,-0.058209
2876,26.969169,20.184.57.167,192.168.43.73,,26.969169,26.969169,0,,-0.094344,0.094344,,0.188688
2877,26.969169,13.88.28.53,192.168.43.73,,26.969169,27.063513,0.094344,,0.085733,0.008611,,-0.077122
